B0001,22519.0,B76,Beauty
B00310,316.5,F838,Collectibles
B00690,4579.0,E991,Furniture
B01056,1434.0,H791,Garden & Outdoors
B0108,4172.5,B76,Beauty
B01186,12748.5,F861,Electronics
B01281,25840.0,I488,Clothing & Accessories
B01393,480.0,I411,Collectibles
B01402,1184.0,C09,Books
B01613,185.5,H233,Beauty
B01670,1232.0,G870,Books
B01747,1129.5,C786,Electronics
B02291,1724.5,B743,Collectibles
B02438,635.0,H834,Computers & Accessories
B02663,60736.0,I052,Beauty
B02708,4800.0,H989,Furniture
B02866,1856.0,I506,Electronics
B02930,16640.0,H89,Books
B0311,3500.5,B0386,Apps & Games
B03295,480.0,C642,Garden & Outdoors
B03297,1832.5,C024,Furniture
B03463,2131.0,H071,Computers & Accessories
B03502,313.5,J07,Books
B0366,896.0,F427,Beauty
B03965,2010.0,H791,Garden & Outdoors
B04660,220.5,C510,Furniture
B05070,3136.0,E208,Books
B05161,2013.0,F274,Beauty
B05183,5120.0,B0099,Computers & Accessories
B05233,20800.0,H455,Electronics
B05594,538.5,C944,Baby
B05696,1003.0,B485,Garden & Outdoors
B05773,2848.0,G823,Books
B05981,15040.0,H111,Apps & Games
B06010,1916.5,J375,Books
B06253,473.0,C159,Apps & Games
B06267,4176.0,C690,Garden & Outdoors
B06288,2534.0,E057,Beauty
B06305,5088.0,J959,Clothing & Accessories
B06479,889.5,G359,Furniture
B06539,1267.0,C996,Furniture
B06678,6718.0,G675,Beauty
B06841,160.0,D30,Garden & Outdoors
B07094,1916.5,F282,Computers & Accessories
B07224,4000.0,I420,Furniture
B07739,5747.0,D064,Books
B07861,627.5,H093,Beauty
B07878,18208.0,B422,Baby
B0838,1333.0,D730,Apps & Games
B08572,2499.5,D804,Baby
B08858,1904.0,E605,Collectibles
B0891,20666.0,F164,Baby
B0930,2563.0,I323,Electronics
B09307,26528.0,C427,Electronics
B09370,2592.0,C476,Baby
B09423,2112.0,C376,Furniture
B09591,1600.0,H885,Books
B09664,1340.5,B0489,Books
B09842,1276.5,G636,Electronics
B09883,288.0,B110,Computers & Accessories
B10333,3808.0,F128,Baby
B10705,5408.0,C417,Clothing & Accessories
B10714,2060.5,B0264,Electronics
B1078,5241.5,H63,Clothing & Accessories
B11242,1945.5,I121,Apps & Games
B11395,1825.5,D304,Books
B11643,4176.0,I609,Clothing & Accessories
B11658,979.0,E401,Garden & Outdoors
B12080,89.5,D248,Garden & Outdoors
B12158,633.5,B945,Computers & Accessories
B12314,419.0,E797,Electronics
B12391,73.5,C874,Clothing & Accessories
B124,7040.0,D855,Books
B12537,704.0,C106,Computers & Accessories
B12596,5630.0,B846,Garden & Outdoors
B12680,29760.0,H89,Computers & Accessories
B12970,592.0,D151,Electronics
B12989,156.5,J90,Collectibles
B13556,249.5,H854,Clothing & Accessories
B13619,2595.0,G442,Apps & Games
B13927,2208.0,B0154,Beauty
B13951,633.5,F049,Books
B14005,4128.0,G122,Electronics
B14386,672.0,C554,Baby
B14480,897.5,G853,Electronics
B14489,78268.5,D184,Collectibles
B14637,6976.0,H875,Collectibles
B14644,699.0,H376,Clothing & Accessories
B14682,672.0,H948,Beauty
B14696,12768.0,J279,Books
B14881,3016.0,J533,Books
B15546,880.0,G210,Books
B15730,6201.5,J086,Computers & Accessories
B15751,112.0,J780,Apps & Games
B15802,2256.0,I127,Electronics
B15891,2368.0,B64,Collectibles
B15913,633.5,J498,Clothing & Accessories
B15999,624.0,D164,Electronics
B16052,2396.0,C130,Garden & Outdoors
B16120,1987.0,I00,Apps & Games
B16522,89.5,B457,Beauty
B16710,716.5,J697,Furniture
B16727,944.5,H088,Books
B16840,4693.0,C874,Apps & Games
B1727,5328.0,C417,Computers & Accessories
B17291,2784.0,J041,Computers & Accessories
B17410,137568.0,D184,Computers & Accessories
B17538,1788.5,D062,Computers & Accessories
B17568,512.5,E524,Baby
B17584,6796.0,G878,Furniture
B17634,2848.0,B0412,Clothing & Accessories
B17635,4528.0,H608,Books
B1766,12480.0,I817,Furniture
B18016,304.0,B736,Furniture
B18323,2848.0,G762,Furniture
B18360,15395.0,I765,Collectibles
B18430,1082.5,C944,Computers & Accessories
B18510,4025.5,J086,Apps & Games
B18681,1152.0,F545,Clothing & Accessories
B18860,9216.0,F516,Clothing & Accessories
B18924,11520.0,I994,Beauty
B19004,1641.5,I640,Clothing & Accessories
B19244,11750.0,C098,Garden & Outdoors
B193,10469.5,C504,Beauty
B19421,2000.0,F622,Collectibles
B1977,796.0,E484,Computers & Accessories
B20072,4736.0,C076,Furniture
B20143,604.5,E97,Furniture
B20157,4320.0,C323,Furniture
B20164,764.5,J498,Baby
B20753,2873.5,H640,Clothing & Accessories
B20856,1753.5,B231,Clothing & Accessories
B21094,13408.0,B887,Clothing & Accessories
B22438,636.5,F251,Collectibles
B22503,26624.0,E328,Garden & Outdoors
B227,7264.0,E76,Baby
B22764,8676.5,I932,Furniture
B22900,3168.0,C475,Computers & Accessories
B23162,1354.5,J270,Beauty
B23175,95.0,J3,Collectibles
B23233,448.0,J879,Beauty
B24096,1513.5,C874,Apps & Games
B24246,1728.0,E253,Baby
B24338,1504.0,H673,Garden & Outdoors
B24780,1593.5,I251,Electronics
B24910,681.5,J217,Baby
B24942,4262.0,G718,Clothing & Accessories
B25011,861.0,B0351,Garden & Outdoors
B256,21536.0,B143,Apps & Games
B25734,3680.0,I251,Clothing & Accessories
B25757,1080.0,C874,Books
B26006,512.0,J917,Collectibles
B26054,48.0,B0320,Beauty
B26455,304.0,E412,Baby
B26688,102.0,C913,Furniture
B26786,1158.0,B718,Garden & Outdoors
B26918,1656.0,I118,Computers & Accessories
B27307,684.0,C874,Clothing & Accessories
B27353,384.0,C133,Books
B2736,8160.0,G607,Furniture
B27446,8147.0,C874,Garden & Outdoors
B27802,10393.5,D197,Furniture
B27991,825.5,G835,Baby
B2804,673.0,C159,Baby
B2805,1276.5,B0231,Apps & Games
B28627,1510.0,F164,Garden & Outdoors
B28630,5088.0,G0,Baby
B28704,2856.0,E458,Books
B28842,732.5,C2,Electronics
B29035,7872.0,I2,Furniture
B29061,705.5,E741,Books
B29079,392.0,C712,Garden & Outdoors
B29428,224.0,I251,Baby
B29573,462.0,B0374,Baby
B29684,49280.0,B0111,Garden & Outdoors
B29729,2528.0,B215,Computers & Accessories
B29890,505.5,B431,Apps & Games
B30162,1843.0,D561,Furniture
B30484,633.5,I522,Electronics
B30614,2416.0,B859,Apps & Games
B30706,320.0,F089,Furniture
B31361,1593.5,H885,Clothing & Accessories
B31424,11840.0,J202,Clothing & Accessories
B31674,284.5,J01,Collectibles
B31966,1593.5,D779,Garden & Outdoors
B32137,232.5,G788,Collectibles
B32147,4608.0,B052,Furniture
B32452,15769.5,H192,Garden & Outdoors
B32731,11680.0,C874,Clothing & Accessories
B3315,1276.5,E821,Electronics
B3645,156.5,G371,Apps & Games
B379,258.5,G192,Clothing & Accessories
B3934,377.5,F376,Electronics
B4262,1248.0,H805,Computers & Accessories
B4666,2816.0,C09,Collectibles
B4943,74240.0,C396,Furniture
B5179,201.0,C369,Electronics
B5253,201.5,D419,Garden & Outdoors
B535,627.5,F567,Computers & Accessories
B5389,348.5,B0247,Furniture
B5646,1276.5,G186,Furniture
B5682,1148.5,C466,Furniture
B6035,118.0,D248,Collectibles
B6066,3332.0,H127,Garden & Outdoors
B6402,14960.0,F529,Beauty
B6555,2013.0,B10,Clothing & Accessories
B6563,3392.0,B225,Books
B6939,604.5,H664,Beauty
B7096,185.5,E412,Electronics
B7337,6048.0,F282,Books
B7346,3862.0,F529,Beauty
B7466,1008.0,H192,Clothing & Accessories
B7486,13545.5,J789,Clothing & Accessories
B7886,3399.5,H791,Clothing & Accessories
B8089,1116.5,F251,Books
B8245,380.5,D538,Furniture
B8254,2560.0,H915,Collectibles
B8581,3808.0,B0025,Furniture
B8738,8736.0,H63,Electronics
B8786,2505.5,B876,Apps & Games
B8802,634.5,H936,Apps & Games
B8895,60.5,G498,Clothing & Accessories
B9018,49632.0,E742,Baby
B9123,4982.0,B485,Garden & Outdoors
B9204,3168.0,B0025,Apps & Games
B9320,68.5,J839,Garden & Outdoors
B9672,5299.5,F164,Collectibles
B9722,83.5,E631,Clothing & Accessories
B9765,1113.5,G102,Books
B9785,8192.0,B922,Beauty
C0186,400.0,F252,Baby
C0231,412.5,I834,Garden & Outdoors
C0316,220.5,B713,Furniture
C0329,946.5,C487,Electronics
C061,2024.0,C048,Beauty
C0623,1209.5,H844,Books
C0717,240.0,J362,Clothing & Accessories
C0975,952.0,J020,Computers & Accessories
C1037,1187.0,E575,Furniture
C1090,13888.0,G108,Computers & Accessories
C1104,2144.0,H441,Computers & Accessories
C1220,2363.5,B0412,Computers & Accessories
C1424,1276.5,B0497,Apps & Games
C1572,832.0,G847,Books
C1710,1897.5,F922,Garden & Outdoors
C1758,1987.0,H605,Apps & Games
C2704,2148.5,G825,Computers & Accessories
C2739,454.0,E621,Electronics
C2978,1340.5,D497,Clothing & Accessories
C3015,4462.0,D850,Clothing & Accessories
C3144,1425.5,D686,Computers & Accessories
C3608,12448.0,E986,Clothing & Accessories
C4245,3481.5,F164,Books
C4384,2208.0,B0333,Clothing & Accessories
C443,2013.0,H704,Electronics
C4471,570.0,J65,Electronics
C4510,4320.0,G108,Garden & Outdoors
C4543,400.0,G077,Apps & Games
C4752,5644.5,G974,Apps & Games
C4800,573.0,F537,Computers & Accessories
C4877,2121.5,E803,Apps & Games
C4887,735.0,D001,Apps & Games
C5114,262.0,F861,Garden & Outdoors
C5148,2876.5,C475,Baby
C5408,3304.5,E389,Collectibles
C5611,8000.0,H455,Baby
C5809,17600.0,F193,Books
C6063,380.5,B850,Collectibles
C6210,378.0,E440,Collectibles
C6455,3317.5,J041,Clothing & Accessories
C6639,383.0,I684,Furniture
C6730,688.0,E628,Baby
C6743,665.5,H768,Beauty
C6755,3542.0,C874,Computers & Accessories
C7141,30912.0,B296,Beauty
C7148,279.0,H233,Apps & Games
C85,1544.5,C076,Furniture
C9047,1824.0,B368,Computers & Accessories
C9135,48080.5,D184,Computers & Accessories
C9267,361.5,E797,Apps & Games
C9402,156.5,J583,Books
C9473,1504.0,D933,Electronics
C949,23296.0,D451,Books
C9848,3686.0,H023,Computers & Accessories
D0013,972.5,F622,Clothing & Accessories
D0068,1692.5,D062,Beauty
D0313,2275.0,F236,Books
D0492,924.5,B088,Furniture
D0595,4352.0,J412,Baby
D0730,412.0,C874,Electronics
D0833,5062.0,F995,Collectibles
D1092,729.5,C066,Computers & Accessories
D1124,13504.0,C874,Garden & Outdoors
D1142,3065.5,J931,Furniture
D1686,1033.5,D41,Computers & Accessories
D1699,489.5,G303,Beauty
D1798,1740.0,B0349,Collectibles
D2591,64.0,F45,Computers & Accessories
D2631,4096.0,F587,Books
D2824,6720.0,C874,Books
D3013,480.0,F427,Baby
D3159,384.0,C874,Furniture
D3395,1059.5,D175,Electronics
D3420,1568.0,B552,Computers & Accessories
D3660,2841.5,J939,Computers & Accessories
D3881,858.0,J565,Beauty
D4256,819.0,F622,Books
D4321,915.0,I404,Electronics
D4324,720.0,J181,Furniture
D4714,1369.5,I121,Garden & Outdoors
D4754,47545.5,I488,Clothing & Accessories
D4815,21625.5,F208,Baby
D5040,419.5,D399,Collectibles
D5074,1312.0,I445,Baby
D534,4025.5,E998,Clothing & Accessories
D5789,15264.0,F193,Furniture
D5809,916.0,G164,Apps & Games
D5852,5731.0,I323,Baby
D5854,1740.5,G295,Beauty
D609,896.0,J326,Furniture
D6169,5408.0,G981,Baby
D6404,17888.0,E986,Collectibles
D6931,153.5,B0357,Beauty
D6994,2262.0,J494,Beauty
D7014,8299.0,J445,Collectibles
